CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0181,0.9996248190689223
C0001,C0184,0.9993446606037405
C0001,C0120,0.9993259232275395
C0002,C0088,0.9989650670611502
C0002,C0106,0.9928236449289416
C0002,C0162,0.9917228371817424
C0003,C0031,0.9992227010886506
C0003,C0157,0.9992091412122104
C0003,C0052,0.999194027525029
C0004,C0169,0.9987866639311735
C0004,C0087,0.9985583352663476
C0004,C0153,0.9977583088460199
C0005,C0186,0.9995507792032226
C0005,C0140,0.9994995724611078
C0005,C0146,0.998648969580735
C0006,C0126,0.9995867908789291
C0006,C0011,0.9994617663815286
C0006,C0118,0.9994341289436897
C0007,C0146,0.9999144733577244
C0007,C0115,0.9990788638806682
C0007,C0186,0.998802374870536
C0008,C0160,0.9980737159545834
C0008,C0038,0.9972267594686602
C0008,C0189,0.9960785187612744
C0009,C0198,0.9966975394803111
C0009,C0061,0.9950613525404849
C0009,C0050,0.9921776163003481
C0010,C0068,0.9965825930277614
C0010,C0111,0.9953887328913581
C0010,C0104,0.9948198403115467
C0011,C0137,0.9997125404386695
C0011,C0126,0.9996785973504312
C0011,C0191,0.9995248304642497
C0012,C0163,0.9998660444921038
C0012,C0072,0.9997956637721008
C0012,C0195,0.99939111729103
C0013,C0099,0.9993963516427574
C0013,C0108,0.9985319049911289
C0013,C0107,0.9960567745621736
C0014,C0060,0.9966442898992166
C0014,C0172,0.9946658566053951
C0014,C0166,0.9922418513870945
C0015,C0131,0.997383792908241
C0015,C0063,0.9948357229687796
C0015,C0085,0.9934609563169207
C0016,C0042,0.9967281965096607
C0016,C0183,0.9961745426957704
C0016,C0067,0.9939954980219173
C0017,C0041,0.9959364136472039
C0017,C0057,0.991015061971976
C0017,C0075,0.9903429500231157
C0018,C0082,0.9993186465893551
C0018,C0122,0.9990821377698078
C0018,C0046,0.9988307439326963
C0019,C0073,0.9994008847073299
C0019,C0070,0.9955158975766424
C0019,C0132,0.9955021445068132
C0020,C0158,0.9974974852437687
C0020,C0198,0.9949307091597538
C0020,C0076,0.9945841870681208
